Average Taxable Income $,Gender Rank,Gender,Individuals,Number of Records,Occupation
"$46,625",786,Male,3414,1,"Carpet layer; Floor finisher; Floor sander and polisher; Floor tile layer – carpet, lino or cork"
"$46,615",787,Male,252,1,Engraver
"$46,538",788,Male,1283,1,Miller – timber; Sawmilling operator
"$46,490",789,Male,358,1,Cash van salesperson
"$46,457",790,Male,910,1,ESL teacher; Teacher of English to speakers of other languages
"$46,442",791,Male,2088,1,Tree faller
"$46,328",792,Male,5985,1,Youth worker
"$46,263",793,Male,746,1,Windscreen fitter
"$46,217",794,Male,1099,1,Materials recycler; Motor vehicle wrecker; Scrap merchant
"$46,044",795,Male,68,1,Chinese medicine practitioner
"$46,035",796,Male,477,1,Retail loss prevention officer
"$46,001",797,Male,71,1,Footwear production machine operator
"$45,965",798,Male,3974,1,Gaming worker
"$45,942",799,Male,537,1,Drug and alcohol counsellor
"$45,920",800,Male,188,1,Gallery or museum technician; Gallery technician; Museum technician; Taxidermist
"$45,877",801,Male,461,1,Metal polisher
"$45,875",802,Male,176,1,Printing table worker
"$45,784",803,Male,36889,1,Administration assistant; Office worker
"$45,741",804,Male,5284,1,Pricing clerk; Stock clerk; Stores clerk
"$45,731",805,Male,526,1,School laboratory technician
"$45,663",806,Male,6443,1,Meat boner and slicer; Saw operator – meat
"$45,640",807,Male,1439,1,Enrolled nurse; Student enrolled nurse
"$45,621",808,Male,16302,1,House painter; Painter and decorator; Paperhanger
"$45,569",809,Male,118,1,Knitting machine operator
"$45,442",810,Male,160,1,Window dresser
"$45,399",811,Male,206,1,Hide and skin processing machine operator
"$45,367",812,Male,1621,1,Motorcycle mechanic
"$45,256",813,Male,1769,1,Surveyor’s assistant
"$45,251",814,Male,51,1,Refuge worker
"$45,165",815,Male,11367,1,Baker
"$45,093",816,Male,468,1,Sterilisation technician
"$44,955",817,Male,754,1,French polisher; Furniture finisher
"$44,878",818,Male,280,1,Art teacher – private
"$44,673",819,Male,111740,1,Storeperson; Warehouse assistant
"$44,593",820,Male,167,1,Sailmaker
"$44,522",821,Male,10,1,Tennis player
"$44,480",822,Male,147,1,Legal secretary General clerical workers
"$44,479",823,Male,761,1,Student counsellor
"$44,433",824,Male,112,1,Diversional therapist
"$44,373",825,Male,78,1,Apprentice or trainee – deck or fishing hand
"$44,301",826,Male,14,1,Homeopath
"$44,298",827,Male,2130,1,Plastics plant hand or labourer
"$44,077",828,Male,636,1,Aboriginal and Torres Strait Islander education worker
"$43,983",829,Male,139,1,Acupuncturist
"$43,977",830,Male,301,1,Family support worker
"$43,935",831,Male,737,1,Funeral attendant
"$43,907",832,Male,13323,1,Greenkeeper; Groundsperson; Horticulturist – greenkeeping
"$43,855",833,Male,299,1,Fellmongery hand or labourer; Tannery hand or labourer
"$43,720",834,Male,3926,1,Merchandiser; Sales demonstrator
"$43,672",835,Male,63965,1,Chef
"$43,660",836,Male,905,1,Golfer
"$43,652",837,Male,1716,1,Bedding and mattress maker; Furniture upholsterer; Upholsterer
"$43,506",838,Male,194,1,First aid trainer
"$43,305",839,Male,23937,1,Mailing service hand or labourer; Rag cutter
"$43,191",840,Male,129,1,Basketballer
"$43,183",841,Male,2597,1,Cake decorator; Pastry cook
"$43,114",842,Male,3068,1,Cellarhand – winery; Winery cellarhand
"$43,105",843,Male,8830,1,Hospital orderly; Theatre attendant – medical; Ward assistant
"$42,953",844,Male,81,1,Hunter-trapper; Shooter or trapper
"$42,907",845,Male,455,1,Translator
"$42,902",846,Male,3348,1,Roof tiler
"$42,892",847,Male,4441,1,Apprentice or trainee – mechanical trades engineer
"$42,689",848,Male,99,1,Make-up artist
"$42,582",849,Male,11,1,Deer farmer or farm overseer
"$42,556",850,Male,1499,1,Interpreter
"$42,509",851,Male,145,1,Therapist – other complementary health
"$42,445",852,Male,13567,1,Gardener – general; Horticulturist – general gardening
"$42,414",853,Male,5533,1,"Floor tiler – ceramic, slate or clay; Tiler; Wall tiler"
"$42,373",854,Male,2069,1,Music teacher – private
"$42,345",855,Male,372,1,Shoemaker or repairer
"$42,320",856,Male,1601,1,Chauffeur; Hire car driver
"$42,284",857,Male,6447,1,Sawmill labourer; Timber yard worker
"$42,244",858,Male,14330,1,Landscape gardener
"$42,214",859,Male,81828,1,Stagehand; Studio hand; Trades assistant
"$42,189",860,Male,57,1,Apparel cutter
"$42,156",861,Male,2876,1,Poultry process worker
"$42,048",862,Male,6475,1,Disabilities support officer
"$41,984",863,Male,356,1,Classer – fruit and vegetable; Egg grader; Product grader
"$41,975",864,Male,30,1,Escort service; Prostitute; Sex worker
"$41,975",865,Male,23166,1,Assembler; Assembly line worker
"$41,960",866,Male,131,1,Sculptor
"$41,877",867,Male,901,1,Animal attendant; Animal trainer (not dog or horse)
"$41,683",868,Male,9940,1,Courier; Messenger
"$41,610",869,Male,807,1,Charter bus driver; Tour bus driver
"$41,336",870,Male,347,1,Costume maker; Dressmaker; Tailor; Wardrobe coordinator or assistant
"$41,305",871,Male,8786,1,Road traffic controller
"$41,266",872,Male,3555,1,Fence erector
"$41,253",873,Male,399,1,Diving instructor (open water)
"$41,229",874,Male,70,1,Antique dealer
"$41,212",875,Male,190,1,Apprentice or trainee – telecommunications technical specialist
"$41,131",876,Male,2283,1,Wood and wood products factory worker
"$41,065",877,Male,2747,1,Caretaker; Janitor
"$41,031",878,Male,58,1,Apprentice or trainee – medical technician
"$41,004",879,Male,2788,1,Bookkeeper; Registrar – school
"$40,971",880,Male,58,1,Potter or ceramic artist
"$40,954",881,Male,17241,1,Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer
"$40,910",882,Male,1787,1,Fruit or nut grower; Market gardener – fruit
"$40,905",883,Male,70,1,Disc jockey – nightclub
"$40,692",884,Male,522,1,Child or youth residential care assistant
"$40,571",885,Male,126,1,Boarding kennel or cattery operator
"$40,504",886,Male,634,1,Apprentice or trainee – electronics tradesperson
"$40,439",887,Male,154,1,Apprentice or trainee – financial services
"$40,404",888,Male,1971,1,Baking factory worker
"$40,327",889,Male,478,1,TAB clerk
"$40,320",890,Male,221,1,Apiarist
"$40,235",891,Male,93,1,Apprentice or trainee – health and welfare support services
"$40,174",892,Male,10333,1,Call centre operator – inbound calls; Call centre operator – other; Contact centre operator – inbound calls; Contact centre operator – other
"$40,108",893,Male,19182,1,Apprentice or trainee – electrician
"$39,997",894,Male,8815,1,Farm machinery operator; Harvester operator – agricultural; Tractor operator
"$39,995",895,Male,395,1,Apprentice or trainee – aircraft maintenance engineer
"$39,972",896,Male,7883,1,Community support worker
"$39,943",897,Male,1697,1,Meter reader
"$39,918",898,Male,2796,1,Data entry operator; Data processing operator; Keyboard operator
"$39,880",899,Male,3242,1,Livestock and mixed crop farm worker
"$39,864",900,Male,139,1,Leather goods maker
"$39,670",901,Male,190,1,Musical instrument repairer; Piano tuner
"$39,274",902,Male,95,1,Horse riding coach or instructor
"$39,197",903,Male,556,1,Picture framer
"$39,163",904,Male,5624,1,Shearer
"$39,111",905,Male,683,1,Drycleaner
"$39,030",906,Male,3873,1,Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser
"$38,947",907,Male,1391,1,Drover – other livestock; Farm hand – other livestock; Jackeroo – other livestock; Jillaroo – other livestock; Stationhand – other livestock
"$38,782",908,Male,692,1,Wool classer
"$38,750",909,Male,124,1,Photographic studio assistant
"$38,738",910,Male,297,1,Painter – visual arts
"$38,441",911,Male,976,1,Recycling worker
"$38,328",912,Male,167,1,Call centre operator – betting; Contact centre operator – betting
"$38,199",913,Male,315,1,Apprentice or trainee – printer or graphic artist
"$38,155",914,Male,868,1,Window cleaner
"$38,071",915,Male,8330,1,Retail assistant – personal and household goods; Sales representative – personal and household goods; Salesperson – personal and household goods
"$38,063",916,Male,127,1,Fishing guide
"$38,028",917,Male,3790,1,Nursing assistant or aide
"$37,981",918,Male,206,1,Bookmaker’s clerk
"$37,897",919,Male,968,1,Apprentice or trainee – automotive electrician
"$37,773",920,Male,1369,1,Plumber’s assistant
"$37,757",921,Male,32837,1,Delivery driver; Pizza deliverer; Taxi-truck driver; Van driver
"$37,754",922,Male,94,1,Community arts worker
"$37,660",923,Male,10497,1,Handyperson
"$37,652",924,Male,577,1,Curtain maker; Sewing machinist; Textile sewing machinist
"$37,642",925,Male,18884,1,Aged or disabled carer; Home companion; Respite carer
"$37,640",926,Male,225,1,Decorator – floral; Florist
"$37,543",927,Male,181,1,Apprentice or trainee – telecommunications tradesperson
"$37,358",928,Male,232,1,Flower grower
"$37,356",929,Male,1098,1,Rental salesperson
"$37,204",930,Male,257,1,Motion picture projectionist
"$37,178",931,Male,249,1,Ballet teacher; Dance teacher – private
"$37,096",932,Male,290,1,Gallery or museum guide; Museum or gallery guide
"$37,079",933,Male,59,1,Hostel parent
"$36,872",934,Male,255,1,Veterinary nurse
"$36,842",935,Male,1745,1,Poultry farm hand
"$36,624",936,Male,3481,1,Actor
"$36,557",937,Male,1130,1,Seafood process worker
"$36,487",938,Male,1729,1,Baggage handler – hotel or motel; Door attendant; Luggage porter
"$36,407",939,Male,172,1,Footwear factory hand or labourer
"$36,404",940,Male,336,1,Choreographer; Dancer; Stripper – entertainment
"$36,404",941,Male,715,1,Pathology collector; Phlebotomist
"$36,303",942,Male,10440,1,Order clerk; Sales clerk
"$36,213",943,Male,15,1,Apprentice or trainee – watch and clock maker
"$36,185",944,Male,1364,1,"Grain, oilseed or pasture farm worker"
"$36,127",945,Male,1833,1,Tourist guide
"$36,082",946,Male,1643,1,Car park attendant
"$36,045",947,Male,3738,1,Vineyard worker
"$36,043",948,Male,64,1,Kindergarten assistant; Pre-school aide
"$35,965",949,Male,13159,1,Chimney sweep; Cleaner – other; Detailer – aircraft
"$35,926",950,Male,414,1,Container filler
"$35,901",951,Male,228,1,Farrier
"$35,891",952,Male,3381,1,Electoral officer; Forms designer; Knowledge manager; Lobbyist; Museum registrar
"$35,880",953,Male,10604,1,Casino worker – host; Hospitality employee – other
"$35,866",954,Male,3616,1,Dairy farm employee; Drover – dairy cattle; Jackeroo – dairy cattle; Jillaroo – dairy cattle; Stationhand – dairy cattle
"$35,844",955,Male,870,1,Tennis coach
"$35,829",956,Male,4259,1,Apprentice or trainee – metal fabrication engineer
"$35,808",957,Male,6079,1,Aerobics instructor; Fitness instructor; Gym instructor
"$35,801",958,Male,50,1,Wood turner
"$35,705",959,Male,3234,1,Personal care assistant
"$35,643",960,Male,2395,1,Apprentice or trainee – airconditioning and refrigeration mechanic
"$35,600",961,Male,2520,1,Nursery assistant – horticulture; Nursery hand – plants
"$35,220",962,Male,5662,1,Furniture packer; Furniture removalist – driver; Removalist
"$35,143",963,Male,138,1,Apprentice or trainee – autoglazier
"$35,101",964,Male,1016,1,Carpet cleaner
"$35,003",965,Male,1028,1,Bicycle mechanic
"$34,907",966,Male,423,1,Physio assistant
"$34,801",967,Male,21269,1,Program seller; Retail assistant – other; Salesperson – other; Shop assistant – other
"$34,720",968,Male,258,1,Vending machine attendant
"$34,692",969,Male,316,1,Apprentice or trainee – information technology technician
"$34,636",970,Male,443,1,Office trainee Other clerical and
"$34,552",971,Male,2519,1,Drover – mixed livestock; Jackeroo – mixed livestock; Jillaroo – mixed livestock; Livestock farm worker – mixed livestock; Stationhand – mixed livestock
"$34,516",972,Male,2628,1,Laundry worker
"$34,316",973,Male,1842,1,Cane cutter
"$34,242",974,Male,9465,1,Garden labourer; Lawn mower
"$34,230",975,Male,139,1,Family day care worker
"$34,165",976,Male,4974,1,Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle
"$34,164",977,Male,9,1,Bungy jump master
"$34,162",978,Male,4360,1,Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer
"$34,126",979,Male,2678,1,Garage attendant; Service station attendant
"$33,985",980,Male,1430,1,Truck driver’s offsider
"$33,933",981,Male,227,1,Apprentice or trainee – clerical services
"$33,904",982,Male,608,1,Referee; Umpire – sports
"$33,811",983,Male,288,1,Apprentice or trainee – agricultural technician
"$33,759",984,Male,439,1,Dental assistant; Dental nurse
"$33,728",985,Male,1403,1,Stable hand; Strapper
"$33,598",986,Male,5995,1,School services officer; Teacher’s aide
"$33,512",987,Male,2544,1,Fruit and vegetable factory worker
"$33,484",988,Male,15311,1,Farm hand – other; Weed controller
"$33,434",989,Male,35705,1,Cleaner – Commercial; Cleaner – hotel or motel; Office cleaner; School cleaner
"$33,344",990,Male,9,1,Gymnast
"$33,284",991,Male,26,1,Goat farmer or farm overseer
"$33,271",992,Male,809,1,Library assistant
"$33,178",993,Male,1408,1,Aquaculture worker
"$33,148",994,Male,16295,1,Cook Skilled animal and
"$33,116",995,Male,3878,1,Bouncer; Crowd controller
"$32,935",996,Male,2554,1,Meat packer
"$32,852",997,Male,7894,1,Packer – other
"$32,819",998,Male,1574,1,Hotel receptionist; Motel receptionist
"$32,804",999,Male,39,1,Trekking guide
"$32,615",1000,Male,202,1,Body artist; Body piercer; Tattooist
"$32,503",1001,Male,29,1,Apprentice or trainee – forestry
"$32,491",1002,Male,2517,1,Apprentice or trainee – automotive Apprentice or trainee – other
"$32,369",1003,Male,77,1,Apprentice or trainee – care and community services
"$32,062",1004,Male,64,1,Apprentice or trainee – jeweller
"$32,018",1005,Male,44,1,Apprentice or trainee – tourism and travel adviser
"$32,001",1006,Male,183,1,Child minder; Governess – child care; Nanny
"$31,851",1007,Male,574,1,Filing clerk
"$31,825",1008,Male,920,1,Outdoor adventure instructor
"$31,821",1009,Male,183,1,Outdoor adventure guide – other
"$31,701",1010,Male,23,1,Apprentice or trainee – animal attendant
"$31,680",1011,Male,8584,1,Apprentice or trainee – plumber
"$31,609",1012,Male,10953,1,Car detailer; Car wash attendant; Detailer – vehicle
"$31,585",1013,Male,8997,1,Apprentice or trainee – automotive mechanic
"$31,549",1014,Male,57,1,Street vendor
"$31,525",1015,Male,1039,1,Drover – sheep; Jackeroo – sheep; Jillaroo – sheep; Sheep farm worker; Stationhand – sheep
"$31,441",1016,Male,12267,1,Chaplain; Clergy – member of; Imam; Minister of religion; Missionary; Monk; Priest; Rabbi; Religious leader
"$31,400",1017,Male,61,1,Pet groomer
"$31,113",1018,Male,186,1,Apprentice or trainee – boat builder or shipwright
"$31,012",1019,Male,648,1,Medical receptionist; Medical secretary
"$30,976",1020,Male,20,1,Apprentice or trainee – performing arts technician
"$30,540",1021,Male,83084,1,Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen
"$30,528",1022,Male,191,1,Apprentice or trainee – signwriter
"$30,453",1023,Male,409,1,Gymnastics coach or instructor
"$30,421",1024,Male,290,1,Seafood packer
"$30,323",1025,Male,229,1,Integration aide (schools)
"$29,995",1026,Male,1662,1,Apprentice or trainee – butcher
"$29,980",1027,Male,16,1,Apprentice or trainee – canvas and leather tradesperson
"$29,866",1028,Male,353,1,Chocolate packer
"$29,829",1029,Male,39,1,Cyclist
"$29,821",1030,Male,284,1,Apprentice or trainee – business services
"$29,767",1031,Male,2720,1,Bakery assistant; Pastry cook’s assistant
"$29,760",1032,Male,20,1,Mountain guide
"$29,696",1033,Male,2709,1,Child care aide or worker; Creche attendant
"$29,622",1034,Male,17,1,Apprentice or trainee – veterinary nurse
"$29,511",1035,Male,29291,1,Bartender
"$29,510",1036,Male,252,1,Beautician; Beauty therapist; Manicurist
"$29,329",1037,Male,4276,1,Lifeguard; Swimming pool attendant – lifeguard
"$29,328",1038,Male,1221,1,"Massage therapist; Masseur or masseuse – therapeutic, remedial; Myotherapist"
"$29,252",1039,Male,15766,1,Apprentice or trainee – carpenter and joiner
"$29,190",1040,Male,1690,1,Cleaner – domestic
"$29,166",1041,Male,361,1,Model
"$29,095",1042,Male,2916,1,Chemist shop assistant; Pharmacy assistant
"$29,064",1043,Male,2602,1,Swimming instructor
"$28,950",1044,Male,213,1,Apprentice or trainee – storeperson
"$28,801",1045,Male,182,1,Apprentice or trainee – floor finisher
"$28,770",1046,Male,71,1,"Apprentice or trainee – food, drink or meat processor"
"$28,636",1047,Male,577,1,Apprentice or trainee – wood tradesperson
"$28,157",1048,Male,1277,1,Apprentice or trainee – baker or pastrycook
"$28,142",1049,Male,1864,1,Vegetable farm worker
"$28,098",1050,Male,481,1,Apprentice or trainee – cleaning services
"$28,089",1051,Male,1784,1,Receptionist – general
"$27,980",1052,Male,43,1,Apprentice or trainee – shearer
"$27,977",1053,Male,314,1,Mushroom picker
"$27,861",1054,Male,146,1,Herbalist; Masseur or masseuse – other
"$27,840",1055,Male,3846,1,Fruit and vegetable packer
"$27,822",1056,Male,544,1,Apprentice or trainee – greenkeeper
"$27,555",1057,Male,18,1,Whitewater rafting guide
"$27,482",1058,Male,55,1,Apprentice or trainee – upholsterer
"$27,431",1059,Male,899,1,Apprentice or trainee – plasterer
"$27,290",1060,Male,4382,1,Apprentice or trainee – chef
"$27,148",1061,Male,323,1,Lay preacher; Religious assistant
"$27,078",1062,Male,3154,1,Call centre operator – outbound calls or telemarketer; Contact centre operator – outbound calls or telemarketer; Telemarketer
"$26,771",1063,Male,3979,1,Housekeeper – commercial
"$26,744",1064,Male,837,1,Apprentice or trainee – gardener
"$26,515",1065,Male,628,1,Ski instructor
"$26,406",1066,Male,1155,1,Market research interviewer
"$26,151",1067,Male,178,1,Apprentice or trainee – farm or garden worker
"$26,118",1068,Male,233,1,Apprentice or trainee – cook
"$26,058",1069,Male,9878,1,Night filler; Shelf filler
"$25,996",1070,Male,69,1,Apprentice or trainee – nurseryperson
"$25,912",1071,Male,1380,1,Shearing shed hand; Wool handler
"$25,688",1072,Male,14933,1,Checkout operator; Console operator – service station
"$25,652",1073,Male,922,1,Crossing supervisor; Crosswalk attendant
"$25,628",1074,Male,218,1,Beauty salon assistant; Hair salon assistant
"$25,572",1075,Male,6291,1,Fruit or nut farm worker
"$25,390",1076,Male,1346,1,Cinema attendant – ushering; Railway employee – ticket collector; Theatre attendant – ushering; Ticket collector; Usher
"$25,347",1077,Male,1220,1,Apprentice or trainee – bricklayer
"$25,336",1078,Male,473,1,Door-to-door salesperson
"$25,328",1079,Male,1170,1,Apprentice or trainee – painter
"$25,229",1080,Male,7248,1,Barista
"$25,177",1081,Male,67,1,Ironer or presser – laundry
"$24,995",1082,Male,762,1,Apprentice or trainee – tiler
"$24,913",1083,Male,1369,1,Bar useful or busser
"$24,294",1084,Male,2056,1,Cab driver; Taxi driver
"$24,204",1085,Male,184,1,Apprentice or trainee – hospitality
"$24,109",1086,Male,561,1,Leaflet or newspaper deliverer
"$24,092",1087,Male,5,1,Apprentice or trainee – clothing tradesperson
"$23,990",1088,Male,18,1,Bed and breakfast owner operator
"$23,981",1089,Male,994,1,Trolley collector
"$23,700",1090,Male,821,1,Child care worker – out of school hours care
"$23,669",1091,Male,5651,1,Café worker; Cafeteria worker; Canteen assistant; Snack bar assistant
"$23,567",1092,Male,25759,1,Drink waiter; Host – dining room; Steward – food and beverage; Waiter; Waitress
"$23,292",1093,Male,15027,1,Cashier; Casino worker – cashier or cage supervisor
"$23,209",1094,Male,216,1,Apprentice or trainee – hair dresser
"$23,161",1095,Male,7669,1,University tutor
"$22,520",1096,Male,12,1,Apprentice or trainee – stablehand
"$22,448",1097,Male,616,1,Housekeeper – domestic
"$20,771",1098,Male,6,1,Apprentice or trainee – beauty therapist
"$20,427",1099,Male,36406,1,Dishwasher; Kitchen hand; Sandwich hand
"$19,979",1100,Male,921,1,Vegetable picker
"$19,586",1101,Male,210,1,Apprentice or trainee – sport and recreation
"$18,988",1102,Male,14686,1,Fast food cook; Fish and chip cook; Hamburger cook or maker; Pizza chef or maker; Short order cook
"$18,100",1103,Male,3,1,Apprentice or trainee – florist
"$16,490",1104,Male,7431,1,Fruit or nut picker
